temperature,humidity,rainfall,wind_speed,pressure,coastal_proximity,elevation,annual_rainfall,cloud_visibility,seasonal_rainfall,flood_risk,cyclone_risk,heatwave_risk,overall_risk
23.0,81.3,67.2,150.0,953.9,1,1266.6,803.4,79.4,1686.7,0,2,0,2
43.6,23.0,117.9,114.9,951.8,1,231.4,1042.5,72.4,1287.0,1,2,2,2
44.3,77.7,15.3,54.6,1004.8,1,915.9,2757.2,80.5,544.6,0,2,0,2
19.1,97.2,274.5,135.6,957.5,1,692.5,1345.3,44.4,1102.2,2,2,0,2
46.7,85.4,280.4,20.8,962.5,1,1311.2,2163.6,19.2,1707.2,2,2,0,2
42.3,42.8,267.1,40.9,1021.5,0,1246.6,775.1,91.9,1651.7,1,0,0,1
43.6,94.4,145.2,59.5,973.7,1,1491.8,1624.7,12.5,1868.6,0,2,0,2
41.9,72.0,277.0,20.6,965.8,1,1044.1,916.4,73.5,952.3,2,2,0,2
10.2,26.3,89.6,125.2,989.4,1,166.8,1364.3,37.1,190.7,1,2,0,2
26.0,83.5,160.0,16.6,1021.5,0,947.9,2225.1,74.7,653.4,1,0,0,1
10.1,48.2,199.7,28.1,1000.1,1,101.5,2078.2,55.7,1977.8,2,1,0,2
31.1,51.2,164.5,95.4,1028.3,1,1121.0,1571.3,16.1,558.1,1,2,0,2
35.0,28.3,203.7,113.5,952.0,1,819.0,2940.5,25.8,1580.4,1,2,0,2
27.7,75.6,221.1,121.7,945.7,1,55.5,1104.8,81.2,1783.0,2,2,0,2
22.0,44.8,139.4,122.3,982.6,0,1129.9,1073.3,42.1,1583.6,0,2,0,2
42.9,46.6,43.6,55.2,1020.1,1,1342.0,1659.9,97.6,1042.8,0,1,0,1
28.9,93.9,181.7,120.2,1005.4,0,645.9,3485.3,26.2,658.2,1,2,0,2
13.9,46.2,103.5,66.9,1004.6,0,1034.6,1554.6,13.8,1753.1,0,1,0,1
23.4,99.9,96.1,147.0,1025.3,0,1006.8,1718.6,56.2,1524.8,0,2,0,2
16.1,22.5,297.0,101.7,979.4,0,100.9,2835.5,43.0,827.4,2,1,0,2
31.6,68.4,237.7,142.3,973.5,0,860.9,2088.4,45.8,1334.2,1,2,0,2
19.5,29.1,257.5,74.9,974.8,0,392.7,1280.9,50.2,1993.1,2,1,0,2
20.9,93.3,171.9,18.4,1016.8,1,259.0,2640.1,99.8,1640.0,2,1,0,2
46.8,98.9,233.7,106.4,989.5,1,1337.0,3054.1,74.1,1861.9,1,2,0,2
34.2,83.5,178.1,18.2,958.1,0,355.1,1982.1,42.5,1187.3,1,0,0,1
27.8,98.6,45.4,132.6,945.9,1,1499.4,2656.6,57.3,1561.4,0,2,0,2
41.3,25.9,340.3,96.4,980.5,1,192.5,2987.2,59.6,1216.8,2,2,2,2
39.2,30.3,176.0,130.2,1014.8,0,456.2,985.9,94.1,528.4,1,1,1,1
46.0,61.5,99.4,11.8,957.7,1,187.8,1408.5,58.0,1054.9,1,2,1,2
16.4,95.3,54.0,98.8,1004.9,1,1263.8,2190.9,84.3,153.9,0,2,0,2
11.7,71.3,201.9,97.7,1009.0,1,927.2,590.9,90.0,1136.6,1,2,0,2
34.4,44.2,85.7,121.1,976.5,1,109.5,679.7,49.6,1020.1,1,2,1,2
17.8,68.5,109.4,107.8,1006.1,1,1463.1,892.3,43.3,1167.1,0,2,0,2
22.1,57.3,93.6,37.2,948.7,1,1418.1,3092.5,47.6,1929.1,0,2,0,2
44.3,85.1,326.8,108.2,957.1,0,747.4,2044.2,54.9,686.2,2,2,0,2
10.9,95.6,176.9,145.0,959.4,1,73.0,1344.1,63.8,1701.4,2,2,0,2
35.6,42.9,2.9,16.1,952.1,1,1091.3,2791.6,42.9,861.1,0,2,0,2
31.7,35.6,193.6,11.0,985.4,1,1238.0,2369.7,65.0,344.5,1,1,0,1
13.7,49.9,345.4,83.7,972.9,0,298.6,2027.4,55.0,186.1,2,1,0,2
15.2,46.6,165.8,68.5,994.6,0,491.9,2339.2,24.6,1982.2,1,1,0,1
38.1,43.9,117.7,124.2,987.9,1,712.3,549.9,39.8,308.2,0,2,0,2
25.8,44.6,314.6,130.8,996.6,1,398.3,2466.8,97.5,1199.1,2,2,0,2
18.6,24.1,168.2,78.6,1004.9,1,221.7,2542.2,12.8,1901.6,1,2,0,2
14.2,21.5,109.8,22.7,1002.1,1,752.7,2334.4,52.4,1711.9,0,1,0,1
37.6,76.5,181.5,84.1,1029.8,1,788.2,1441.3,25.6,1833.0,1,2,0,2
23.0,48.3,270.2,108.1,997.9,1,915.1,1076.8,32.2,1160.4,2,2,0,2
18.5,97.8,104.2,43.4,958.7,1,475.6,1546.4,94.0,1611.3,1,2,0,2
20.4,29.7,236.8,57.0,1028.2,1,1431.9,2913.8,36.1,646.5,1,1,0,1
37.1,47.7,154.8,38.5,983.1,0,1241.9,1313.4,60.6,616.1,0,0,0,0
14.2,79.3,83.7,7.6,1021.5,0,956.9,657.5,47.2,1463.0,0,0,0,0
13.8,81.7,1.8,82.6,1023.6,1,979.3,3141.9,52.8,1336.0,0,2,0,2
38.7,43.0,99.9,8.9,1009.2,0,802.7,2669.4,94.3,1835.1,0,0,0,0
16.7,90.6,61.5,137.9,1029.7,1,1181.9,1058.9,77.4,1757.4,0,2,0,2
21.0,23.0,104.4,90.4,1023.6,1,426.8,3467.3,58.9,1038.4,1,2,0,2
45.7,88.1,163.8,28.9,950.1,0,1096.7,2444.9,74.7,126.8,1,1,0,1
22.8,43.6,236.0,29.0,995.0,1,1240.5,2045.8,17.8,1371.6,1,1,0,1
17.0,31.2,113.3,37.2,963.5,0,670.1,1301.0,39.7,1206.7,0,1,0,1
31.8,40.9,125.8,35.4,1000.1,1,460.2,1716.2,55.2,1800.7,1,1,0,1
36.7,44.9,41.1,137.4,966.6,0,328.7,900.7,23.8,1520.7,0,2,1,2
33.0,53.3,192.2,70.6,988.4,0,1142.8,2541.0,63.6,1596.0,1,1,0,1
30.0,62.3,126.6,137.6,950.1,0,859.1,949.6,39.5,1088.6,0,2,0,2
14.4,36.4,204.1,13.6,985.9,0,680.1,2039.7,51.1,209.7,1,0,0,1
27.6,84.6,253.1,59.4,1013.5,0,867.5,635.9,41.0,221.1,2,0,0,2
47.8,94.8,24.2,140.1,942.9,1,270.0,906.3,67.7,1485.7,0,2,1,2
46.6,50.0,312.0,67.3,1022.5,1,563.5,2548.2,69.6,1124.7,2,2,1,2
34.8,47.8,62.5,80.6,987.6,0,1252.2,2768.5,98.1,979.7,0,1,0,1
37.3,53.9,132.7,34.4,981.5,0,413.5,3312.2,75.3,314.4,1,0,0,1
40.8,53.5,268.1,132.6,941.4,0,100.9,2281.8,50.2,1376.8,2,2,1,2
43.1,39.6,15.5,65.8,988.6,0,210.2,3480.5,31.1,1841.2,0,1,2,2
31.9,66.2,270.4,122.8,961.3,0,1478.5,2063.8,47.2,622.8,1,2,0,2
31.2,67.3,257.3,26.3,1001.1,1,70.3,1533.2,67.9,824.2,2,1,0,2
29.9,75.7,142.9,45.0,956.5,1,361.5,1176.0,87.2,374.3,1,2,0,2
27.6,24.6,144.4,62.5,987.7,1,364.3,1110.0,68.2,1852.2,1,2,0,2
42.2,27.4,253.6,28.6,964.2,0,1310.4,1064.5,78.6,1476.2,1,0,0,1
31.2,58.4,304.3,49.9,1026.1,0,317.7,1070.1,76.7,1519.1,2,0,0,2
38.7,93.2,243.5,105.6,975.7,0,828.1,2826.5,44.3,1113.9,2,2,0,2
23.7,40.9,179.5,74.6,948.9,1,1142.4,1460.7,28.3,694.6,1,2,0,2
11.7,89.1,259.4,2.4,989.8,1,442.8,1088.6,30.7,1182.6,2,1,0,2
19.3,64.1,330.2,50.6,1008.7,1,1449.8,2425.1,54.2,419.6,2,2,0,2
40.2,33.5,252.1,73.2,1022.5,0,785.9,3017.2,16.7,1654.2,1,0,1,1
11.8,20.5,48.1,94.6,946.1,0,13.7,2017.2,43.6,1273.9,0,2,0,2
35.3,69.3,169.1,73.2,940.6,1,17.8,2088.3,34.7,1957.2,2,2,0,2
10.7,85.1,235.9,120.9,1021.9,0,1377.1,2073.2,31.7,1277.6,1,1,0,1
19.6,48.4,278.2,11.9,1026.3,1,847.5,3470.7,30.3,1399.7,2,1,0,2
42.2,72.3,300.4,113.9,948.4,1,565.8,1928.0,67.3,1435.4,2,2,0,2
13.1,87.6,225.7,49.7,1028.0,0,1342.2,3257.5,30.7,1812.4,1,0,0,1
36.3,65.3,94.9,138.6,1001.6,1,1349.0,2190.5,13.0,1864.7,0,2,0,2
22.0,96.9,205.5,112.8,1004.1,1,1393.3,1397.8,60.8,1176.7,1,2,0,2
42.3,74.2,189.2,57.6,1006.6,0,751.2,3423.0,14.8,930.5,1,0,0,1
41.9,47.2,269.2,143.2,975.7,1,44.4,1320.0,99.3,1032.1,2,2,1,2
23.5,95.3,151.1,102.0,999.5,0,1158.3,1386.1,32.2,239.7,0,1,0,1
20.2,50.4,274.4,23.1,975.1,1,159.8,515.6,37.7,783.8,2,2,0,2
20.3,30.6,65.6,67.3,989.9,1,154.9,768.9,59.9,1234.2,0,2,0,2
39.8,89.1,4.3,62.1,1010.1,0,857.9,1008.7,44.3,363.8,0,1,0,1
21.4,59.4,22.1,65.2,977.9,1,1174.0,1583.4,95.0,1469.7,0,2,0,2
28.8,69.3,160.3,20.3,940.6,1,498.3,2360.6,82.4,726.1,1,2,0,2
22.7,85.2,300.8,146.1,952.3,1,904.8,2585.9,53.1,437.5,2,2,0,2
25.1,45.5,257.2,94.9,1027.1,0,488.8,1340.9,80.7,793.5,2,1,0,2
45.4,36.0,349.0,27.0,1009.1,0,1429.5,1884.9,73.8,933.1,2,0,0,2
21.1,75.4,286.6,119.3,976.8,1,208.8,1408.5,32.7,392.9,2,2,0,2
26.1,50.2,157.2,89.7,992.4,1,815.5,2872.2,42.4,1801.5,1,2,0,2
30.4,71.1,29.7,115.3,999.2,1,249.5,2338.0,60.7,1325.6,0,2,0,2
34.6,97.3,116.1,119.4,949.5,0,388.1,2032.0,56.7,1203.0,1,2,0,2
31.9,55.7,136.9,115.9,993.0,0,517.5,573.7,19.4,890.4,1,2,0,2
46.5,29.3,329.2,21.3,968.1,1,1176.4,2063.3,41.3,285.5,2,2,1,2
37.4,56.2,23.5,6.7,1004.0,0,1273.8,2443.9,70.9,412.3,0,0,0,0
47.4,39.5,61.1,24.0,990.4,1,347.8,1715.1,26.6,1316.9,0,1,2,2
26.4,22.3,214.9,29.6,993.3,1,6.7,1144.4,35.1,1437.1,2,1,1,2
40.2,66.2,279.8,80.5,972.9,0,686.3,1287.1,87.6,1102.7,2,1,0,2
34.3,67.8,214.0,88.1,971.3,1,926.0,2941.2,73.5,665.1,1,2,0,2
33.4,26.8,46.9,17.7,967.5,0,560.0,924.1,45.0,1233.2,0,0,0,0
31.8,53.8,170.3,80.6,1022.7,0,832.4,1968.9,22.6,697.7,1,1,0,1
27.1,24.3,125.7,1.4,952.3,1,1445.7,2016.3,54.5,1400.9,0,1,0,1
25.8,87.2,171.0,12.4,942.8,0,438.1,1324.6,58.4,419.6,1,1,0,1
27.4,79.4,268.1,82.5,950.2,0,401.8,2129.3,99.2,1129.9,2,2,0,2
38.8,80.8,154.5,32.8,978.3,0,446.6,3497.9,50.5,762.3,1,0,0,1
41.0,55.1,347.9,116.3,961.3,1,1291.6,2330.8,48.5,1270.7,2,2,0,2
39.8,85.1,281.9,85.5,987.9,0,485.5,2612.2,36.0,608.0,2,1,0,2
42.6,98.8,237.8,14.3,1026.6,1,1378.2,3477.5,88.0,341.1,1,1,0,1
42.9,40.0,249.0,124.3,1008.5,1,734.2,2232.3,34.2,887.0,2,2,1,2
27.2,70.7,308.0,14.0,986.4,1,1042.1,3132.0,50.9,1027.3,2,1,0,2
32.1,89.5,296.5,14.0,1027.5,1,1275.2,2887.0,45.8,1939.4,2,1,0,2
41.3,59.6,113.0,42.5,989.3,0,849.2,1956.0,40.9,1396.8,0,0,0,0
11.8,28.0,274.4,68.9,951.2,0,661.9,502.0,96.2,484.4,2,1,0,2
36.2,30.6,227.5,23.8,1023.9,1,140.0,1581.3,17.4,1362.6,2,1,1,2
34.7,24.1,219.0,108.9,1008.0,1,983.2,2611.1,10.1,1005.9,1,2,0,2
15.0,38.1,238.0,1.4,1002.6,0,1482.2,1766.9,21.9,234.6,1,0,0,1
24.6,78.5,35.8,47.0,1019.3,0,574.1,2940.1,88.7,1319.0,0,0,0,0
35.7,25.5,197.2,91.5,954.8,1,1083.6,2384.2,23.6,882.2,1,2,0,2
36.1,88.8,30.3,15.1,1007.7,1,527.3,1788.2,81.2,570.8,0,1,0,1
34.5,39.9,210.3,108.2,965.6,0,1271.8,2475.2,37.1,1083.7,1,2,0,2
29.4,79.8,103.4,8.2,1020.8,0,742.3,838.2,55.0,1228.5,0,0,0,0
30.1,98.2,345.4,140.1,951.9,1,548.1,2548.8,78.6,1913.5,2,2,0,2
39.3,21.3,23.6,39.3,943.6,0,1423.0,1693.9,35.8,1454.0,0,1,0,1
39.2,53.9,140.8,96.1,988.4,0,416.2,1429.7,56.0,486.1,1,1,1,1
40.7,62.9,136.8,95.1,1015.1,0,465.3,1812.5,95.8,553.4,1,1,1,1
19.3,94.0,40.6,91.8,945.0,0,179.2,2623.7,73.1,411.3,0,2,0,2
46.2,61.8,274.0,108.1,955.0,0,1124.7,3120.4,76.0,324.3,2,2,0,2
44.2,46.8,150.3,78.6,963.7,0,744.2,2032.3,15.0,1732.8,1,1,1,1
16.3,32.6,270.7,134.1,1000.7,0,342.6,2026.5,14.0,1739.6,2,2,0,2
19.3,57.7,134.0,22.5,1023.8,0,829.3,3241.8,76.7,896.8,0,0,0,0
22.2,53.3,252.1,40.7,947.0,1,179.1,2520.0,14.7,524.1,2,2,0,2
29.6,23.7,140.3,131.5,1017.9,1,491.0,2159.3,10.7,481.3,1,2,0,2
31.4,44.3,218.0,69.6,993.3,1,1496.7,2827.7,75.9,1138.5,1,2,0,2
40.2,32.0,326.3,3.6,988.7,0,1426.5,504.4,69.2,1713.1,2,0,0,2
37.6,28.3,185.4,35.7,984.3,0,1458.8,927.1,35.2,183.4,0,0,0,0
18.8,87.6,144.6,134.3,981.3,0,871.2,2016.3,67.3,849.3,1,2,0,2
32.5,25.0,231.9,19.6,966.3,1,1389.1,1678.9,84.9,719.9,1,2,0,2
27.2,38.7,330.2,20.4,1009.3,0,233.1,993.1,51.9,872.4,2,0,0,2
30.4,97.2,72.7,46.2,963.9,0,135.6,2922.8,37.4,1438.9,0,1,0,1
32.9,37.2,299.8,22.2,1004.0,1,594.4,646.9,36.9,1658.2,2,1,0,2
16.6,96.2,299.1,83.4,989.5,0,693.1,2911.7,22.6,122.7,2,1,0,2
41.6,98.6,45.8,123.6,973.5,0,873.5,1276.5,83.1,141.4,0,2,0,2
12.4,92.2,155.2,19.3,1021.5,1,183.8,3326.8,14.6,1855.9,1,1,0,1
26.5,78.0,173.6,57.4,978.4,1,322.1,1061.5,35.2,1778.5,1,2,0,2
